epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,248.928,0.43597,0.38869,0.84206,0.99736,1,0.995,0.93009,0.36992,0.31826,0.6495,0.0002576,0.0002576,0.0002576
90,251.843,0.44354,0.39014,0.82397,0.99735,1,0.995,0.91804,0.37944,0.30754,0.65415,0.0002378,0.0002378,0.0002378
91,254.527,0.39431,0.4034,0.76965,0.99731,1,0.995,0.92255,0.37583,0.29282,0.65498,0.000218,0.000218,0.000218
92,257.137,0.3711,0.38813,0.79568,0.99732,1,0.995,0.92626,0.37384,0.27908,0.64527,0.0001982,0.0001982,0.0001982
93,259.687,0.38661,0.38735,0.7841,0.99738,1,0.995,0.92755,0.38351,0.32693,0.64631,0.0001784,0.0001784,0.0001784
94,262.335,0.38975,0.39377,0.79985,0.99744,1,0.995,0.92838,0.39448,0.35586,0.63893,0.0001586,0.0001586,0.0001586
95,265.006,0.37943,0.37357,0.79511,0.99738,1,0.995,0.9172,0.39607,0.36439,0.64444,0.0001388,0.0001388,0.0001388
96,267.8,0.36927,0.36637,0.79502,0.99741,1,0.995,0.91783,0.40036,0.36684,0.64757,0.000119,0.000119,0.000119
97,270.415,0.37713,0.37438,0.80468,0.99744,1,0.995,0.91339,0.39394,0.35636,0.64763,9.92e-05,9.92e-05,9.92e-05
98,273.026,0.38472,0.36794,0.75806,0.99738,1,0.995,0.91117,0.38341,0.33421,0.64573,7.94e-05,7.94e-05,7.94e-05
99,275.63,0.37447,0.36941,0.79641,0.99742,1,0.995,0.92276,0.3708,0.30839,0.64058,5.96e-05,5.96e-05,5.96e-05
100,278.213,0.36085,0.36036,0.77787,0.99742,1,0.995,0.92237,0.36058,0.29857,0.63826,3.98e-05,3.98e-05,3.98e-05
