epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,160.112,0.29631,0.2007,0.37564,0.81432,0.82926,0.98947,0.94533,0.88237,0.83143,0.98947,0.96021,0.83691,0.32092,0.38433,0.6135,0.8263,0.00130393,0.00130393,0.00130393
68,162.528,0.29591,0.17747,0.3733,0.8132,0.82968,0.95307,0.95677,0.90077,0.82968,0.95307,0.95677,0.83045,0.30267,0.41768,0.61654,0.82078,0.00129843,0.00129843,0.00129843
69,164.973,0.29801,0.20959,0.36202,0.81453,0.97189,0.94781,0.98756,0.91645,0.97189,0.94781,0.98756,0.84557,0.2903,0.46098,0.45199,0.81615,0.00129293,0.00129293,0.00129293
70,167.298,0.3045,0.19938,0.36503,0.82027,0.97871,0.95232,0.99044,0.94007,0.97871,0.95232,0.99044,0.84426,0.29251,0.46675,0.42854,0.81983,0.00128742,0.00128742,0.00128742
71,169.69,0.29994,0.18789,0.37272,0.81058,0.96485,0.99474,0.99368,0.93132,0.96485,0.99474,0.99368,0.88139,0.28103,0.42968,0.41826,0.82032,0.00128192,0.00128192,0.00128192
72,172.02,0.27876,0.17019,0.35309,0.81632,0.95662,0.96686,0.99388,0.92071,0.96152,0.95833,0.9908,0.87273,0.27882,0.43347,0.43649,0.81884,0.00127642,0.00127642,0.00127642
73,174.325,0.28453,0.15875,0.34512,0.81487,0.93796,0.95833,0.98645,0.93341,0.93796,0.95833,0.98216,0.88013,0.26675,0.48757,0.45009,0.8149,0.00127092,0.00127092,0.00127092
74,176.62,0.28323,0.18076,0.33927,0.80565,0.94562,0.95833,0.99038,0.93373,0.94562,0.95833,0.95541,0.87089,0.27099,0.46965,0.4074,0.82545,0.00126542,0.00126542,0.00126542
75,178.913,0.28353,0.18746,0.33248,0.81147,0.96896,0.98947,0.99396,0.95476,0.97415,0.99474,0.99415,0.90629,0.25582,0.43903,0.32195,0.81814,0.00125992,0.00125992,0.00125992
76,181.205,0.28023,0.17454,0.33681,0.81227,0.9862,0.98511,0.99375,0.95265,0.9862,0.98511,0.99399,0.91353,0.26493,0.39903,0.31626,0.81212,0.00125442,0.00125442,0.00125442
77,183.52,0.29927,0.20313,0.32964,0.81736,0.98791,0.98421,0.99343,0.94415,0.98791,0.98421,0.99357,0.89572,0.2725,0.37429,0.32034,0.81605,0.00124892,0.00124892,0.00124892
78,185.791,0.26564,0.20694,0.32095,0.8082,0.98592,0.98421,0.99294,0.94319,0.98592,0.98421,0.99299,0.90565,0.26135,0.35498,0.312,0.8114,0.00124342,0.00124342,0.00124342
79,188.119,0.27756,0.18706,0.32228,0.79942,0.98581,0.99072,0.9907,0.93533,0.98581,0.99072,0.99171,0.92453,0.26456,0.29955,0.31413,0.8037,0.00123791,0.00123791,0.00123791
80,190.411,0.30228,0.18902,0.33542,0.83585,0.98591,0.9932,0.99093,0.93787,0.98591,0.9932,0.99165,0.9284,0.26111,0.28243,0.31273,0.80119,0.00123241,0.00123241,0.00123241
81,192.723,0.26767,0.15697,0.30798,0.80978,0.98684,0.98421,0.99238,0.93313,0.98684,0.98421,0.9931,0.94892,0.24491,0.30673,0.30897,0.80089,0.00122691,0.00122691,0.00122691
82,194.996,0.28302,0.19499,0.33113,0.81207,0.99048,0.98421,0.99256,0.95389,0.99048,0.98421,0.99348,0.93186,0.2442,0.31233,0.3011,0.80423,0.00122141,0.00122141,0.00122141
83,197.308,0.32322,0.22013,0.35299,0.81714,0.98808,0.98421,0.99266,0.96298,0.98851,0.98533,0.9932,0.93849,0.24406,0.27871,0.30074,0.81157,0.00121591,0.00121591,0.00121591
84,199.618,0.28539,0.1859,0.32124,0.81747,0.99068,0.98421,0.99321,0.9639,0.98248,0.99603,0.99365,0.94722,0.25413,0.28424,0.30072,0.81544,0.00121041,0.00121041,0.00121041
85,201.955,0.26321,0.17718,0.30785,0.7934,0.9874,1,0.99309,0.95035,0.98225,0.99474,0.99276,0.92527,0.24412,0.35376,0.29043,0.80972,0.00120491,0.00120491,0.00120491
86,204.215,0.28202,0.20564,0.3326,0.80571,0.98672,1,0.99288,0.95193,0.98672,1,0.99288,0.94194,0.25194,0.33207,0.28791,0.81319,0.00119941,0.00119941,0.00119941
87,206.505,0.2816,0.20983,0.31727,0.80994,0.98602,0.98947,0.99289,0.9589,0.98646,0.99199,0.99352,0.92838,0.23664,0.27367,0.27392,0.79706,0.00119391,0.00119391,0.00119391
88,208.783,0.28122,0.19088,0.30956,0.81863,0.9898,0.98947,0.98871,0.95727,0.98962,0.98947,0.99352,0.92132,0.23587,0.27142,0.27924,0.79554,0.0011884,0.0011884,0.0011884
89,211.089,0.25802,0.1759,0.3125,0.79475,0.98956,0.98947,0.9932,0.94741,0.98907,0.98947,0.99394,0.92312,0.24945,0.27231,0.28329,0.7966,0.0011829,0.0011829,0.0011829
90,213.401,0.26595,0.19725,0.31354,0.8122,0.99076,0.98171,0.99313,0.95568,0.93999,0.99234,0.99109,0.9142,0.24024,0.30625,0.27699,0.80604,0.0011774,0.0011774,0.0011774
91,215.725,0.28057,0.18769,0.32182,0.80318,0.97967,0.98565,0.99384,0.93835,0.98453,0.99108,0.99422,0.9058,0.23853,0.32802,0.2828,0.81015,0.0011719,0.0011719,0.0011719
92,218.019,0.27036,0.18669,0.29728,0.79341,0.98251,0.98507,0.99359,0.93659,0.98251,0.98507,0.99422,0.90989,0.2394,0.31129,0.28663,0.81321,0.0011664,0.0011664,0.0011664
93,220.341,0.27842,0.21216,0.30118,0.82069,0.97857,0.98637,0.9928,0.95523,0.97857,0.98637,0.99361,0.8941,0.23647,0.33849,0.30957,0.80396,0.0011609,0.0011609,0.0011609
94,222.667,0.29002,0.19408,0.31944,0.82777,0.97514,0.98046,0.99161,0.95999,0.97514,0.98046,0.99245,0.89353,0.2293,0.38199,0.34296,0.8025,0.0011554,0.0011554,0.0011554
95,225.073,0.27007,0.17335,0.29307,0.79514,0.95706,0.95425,0.98381,0.93802,0.95706,0.95425,0.98566,0.88248,0.25128,0.46414,0.45057,0.81223,0.0011499,0.0011499,0.0011499
96,227.387,0.27264,0.17237,0.30901,0.80277,0.94227,0.96316,0.98214,0.94308,0.94227,0.96316,0.98384,0.8784,0.2328,0.44088,0.47695,0.81304,0.0011444,0.0011444,0.0011444
97,229.709,0.27254,0.16901,0.30811,0.8091,0.97258,0.96188,0.9871,0.93971,0.97258,0.96188,0.98878,0.90629,0.24353,0.38111,0.53045,0.81102,0.00113889,0.00113889,0.00113889
98,232.006,0.27065,0.16299,0.31439,0.80868,0.97508,0.97895,0.98914,0.94377,0.97508,0.97895,0.99157,0.90299,0.23583,0.35406,0.43294,0.8037,0.00113339,0.00113339,0.00113339
99,234.269,0.25719,0.18888,0.28914,0.80594,0.98511,0.98046,0.99102,0.97022,0.98511,0.98046,0.99426,0.91126,0.23408,0.36117,0.30819,0.80289,0.00112789,0.00112789,0.00112789
100,236.591,0.24739,0.16179,0.28111,0.79823,0.98377,0.98275,0.99146,0.96466,0.98377,0.98275,0.99459,0.91533,0.23585,0.35394,0.29006,0.80029,0.00112239,0.00112239,0.00112239
101,238.914,0.26929,0.162,0.2974,0.8076,0.98656,0.9853,0.99126,0.9718,0.98656,0.9853,0.99405,0.9067,0.22845,0.34927,0.30294,0.79769,0.00111689,0.00111689,0.00111689
102,241.186,0.25459,0.16895,0.29906,0.81209,0.98461,0.98947,0.99219,0.9622,0.98461,0.98947,0.99272,0.90008,0.22422,0.36401,0.3227,0.80554,0.00111139,0.00111139,0.00111139
103,243.436,0.24074,0.14404,0.27227,0.80015,0.98551,0.98802,0.99017,0.945,0.97891,0.99033,0.9907,0.90027,0.26244,0.38044,0.32631,0.8094,0.00110589,0.00110589,0.00110589
